Company,Industry,Website
Built Robotics,Robotics,https://builtrobotics.com
Lilt,Artificial Intelligence,https://lilt.com
Ellevest,FinTech,https://ellevest.com
Skiff,Collaboration,https://skiff.com
Flock Homes,Real Estate,https://flockhomes.com
Jeeves,FinTech,https://tryjeeves.com
Subject,EdTech,https://subject.com
Deepcell,Biotech,https://deepcell.com
Webflow,Web Development,https://webflow.com
SmithRx,Healthcare,https://smithrx.com
Hermeus,Space,https://hermeus.com
Propel,FinTech,https://propellerads.com
Disco,E-Commerce,https://discord.com
Apollo.io,Lead Generation,https://apollo.io
BillionToOne,Biotech,https://billiontoone.com
Fabric,E-Commerce,https://fabricwholesaledirect.com
Promise,FinTech,https://promisegulf.com
AnyRoad,SaaS,https://anyroad.com
Secureframe,Cybersecurity,https://secureframe.com
WorkWhile,Recruiting,https://workwhilejobs.com
PopSQL,Collaboration,https://popsql.com
Homebound,Construction,https://homebound.com
Wander,Travel,https://wanderu.com
Alchemy,Crypto,https://alchemy.com
Census,Analytics,https://getcensus.com
Mos,FinTech,https://mos.ru
Phantom,Crypto,https://phantom.app
Vesta,SaaS,https://vesta-sleep.com
Compound Financial,FinTech,
CoinTracker,FinTech,https://cointracker.io
Supermove,SaaS,https://supermovercenter.com
CaptivateIQ,Sales,https://captivateiq.com
Scratchpad,SaaS,https://scratchpad.com
Cellino,Biotech,https://cellinobio.com
Culdesac,Sustainability,https://culdesac.com
Virtru,SaaS,https://virtru.com
Autograph,Crypto,https://autograph.io
Smartcar,Transportation,https://smartcar.com
Clockwise,SaaS,https://getclockwise.com
Merit,GovTech,https://meritpages.com
Wonderschool,EdTech,https://wonderschool.com
Envoy,SaaS,https://envoy.com
Miro,SaaS,https://miro.com
OpenSea,E-Commerce,https://opensea.io
Pyka,Hardware,https://pyka.fr
Tackle,Marketplaces,https://tacklewarehouse.com
Searchlight,SaaS,https://searchlight.ai
SkySafe,Cybersecurity,https://skysafe.io
Papaya,FinTech,https://papayapay.com
Stoke Space,Space,https://stokespace.com
Mixhalo,Music,https://mixhalo.com
Wonder Dynamics,Artificial Inteligence,https://wonderdynamics.com
Robust Intelligence,Artificial Intelligence,https://robustintelligence.com
Deed,SaaS,https://deeds.com
Mio,Collaboration,https://miomio.guru
Torq,Cybersecurity,https://torq.io
Anyscale,Developer Platform,https://anyscale.com
CyCognito,Cybersecurity,https://cycognito.com
Commonwealth Fusion,Sustainability,https://cfs.energy
CloudTrucks,Transportation,https://cloudtrucks.com
Iron Fish,Crypto,https://ironfish.network
Lessen,Real Estate,https://lessen.com
Quince,E-Commerce,https://quinceanera-boutique.com
Conduktor,SaaS,https://conduktor.io
Royal,Music,https://royalcaribbean.com
Stytch,Developer APIs,https://stytch.com
Fountain Therapeutics,Biotech,
PlanetScale,Enterprise Software,https://planetscale.com
Luxury Presence,Sales and Marketing,https://luxurypresence.com
Ribbon Health,Healthcare,https://ribbonhealth.com
Netography,Cybersecurity,https://netography.com
Orderful,Enterprise Software,https://orderful.com
Wrapbook,FinTech,https://wrapbook.com
VergeSense,SaaS,https://vergesense.com
Faraway,Crypto,https://farawaylucy.com
Mythical Games,Gaming,https://mythicalgames.com
Whimsical,SaaS,https://whimsical.com
UnitedMasters,Media,https://unitedmasters.com
Drip Capital,FinTech,https://dripcapital.com
ClickUp,SaaS,https://clickup.com
Matik,SaaS,https://matik.io
Lightship,Healthcare,https://lightship.dev
All Day Kitchens,Food & Drinks,https://alldaykitchens.com
Neural Magic,Machine Learning,https://neuralmagic.com
Solugen,Biotech,https://solugen.com
Osaro,Artificial Intelligence,https://osaro.com
Superhuman,SaaS,https://superhuman.com
Arevo,Manufacturing,https://arevoltapc.com
eGenesis,Biotech,https://egenesisbio.com
Facilio,Enterprise Software,https://facilio.com
WorkRamp,EdTech,https://workramp.com
Elemeno Health,Healthcare,https://elemenohealth.com
Zenysis,Software,https://zenysis.com
May Mobility,Transportation,https://maymobility.com
Tesorio,FinTech,https://tesorio.com
HyperTrack,SaaS,https://hypertrack.com
KERV Interactive,Marketing,https://kervidi.com
Nimble Pharmacy,Healthcare,
Notion,SaaS,https://notion.so
Gem,Recruiting,https://gemini.com
Formation Bio,Healthcare,https://formationbiologics.com
Loyal,Biotech,https://loyalfans.com
Misfits Market,E-Commerce,https://misfitsmarket.com
Stardust,Gaming,https://stardust.gg
ROME Therapeutics,Biotech,https://rometx.com
GenEdit,Biotech,https://genedit.com
Elodie Games,Gaming,https://elodie.games
Rapid Robotics,Robotics,https://rapidrobotics.com
Catch&Release,Artificial Intelligence,https://catchandrelease.com
Monad,Cybersecurity,https://monadnockford.com
Aalto,Real Estate,https://aalto.com
Tabular Technologies,Enterprise Software,
Robocorp,SaaS,https://robocorp.com
Dover,Human Resources,https://doversaddlery.com
Origin,FinTech,https://exploreorigin.com
Coco,Robotics,https://coconala.com
Calibrate,Healthcare,https://joincalibrate.com
Jetty,FinTech,https://jetty.com
Juno,Real Estate,https://juno.finance
Hipcamp,Marketplace,https://hipcamp.com
Titan,FinTech,https://titan.co.in
Doxel,Construction,https://doxel.ai
PicsArt,Media,https://picsart.com
SplashLearn,EdTech,https://splashlearn.com
Zomentum,SaaS,https://zomentum.com
Orum,FinTech,https://orum.com
unitQ,Analytics,https://unitq.com
Centaur Labs,Healthcare,https://centaurlabs.com
Solv Health,Healthcare,https://solvhealth.com
Popshop Live,Consumer,https://popshop.live
Passport,Shipping,https://passports.gov.au
Moveworks,Cloud Computing,https://moveworks.com
Thrive Global,Social,https://thriveglobal.com
Interos,Enterprise Software,https://interos.ai
Neuralink,Healthcare,https://neuralink.com
Modern Animal,SaaS,https://modernanimal.com
MakersPlace,Consumer,https://makersplace.com
Connie Health,Healthcare,https://conniehealth.com
SentiLink,Cybersecurity,https://sentilink.com
CareStack,Cloud Computing,https://carestack.com
Blameless,Developer Platforms,https://blameless.com
Slintel,Business Intelligence,https://tracxn.com/d/companies/slintel/__EWRyn3M3Tlbh_X1pUT7REkvVw-zFTR_EkU44jUZ15RM
Multiply Labs,Healthcare,https://multiplylabs.com
Plate IQ,Marketing,https://ottimate.com/plate-iq/
Lob,Developer APIs,https://lob.com
Cofactor Genomics,Biotech,https://cofactorgenomics.com
Tovala,Food & Drinks,https://tovala.com
SafetyWing,Freelancers,https://safetywing.com
Flowspace,Logistics,https://flow.space
"Bot, M.D.",Artificial Intelligence,https://botmd.io
Prodigal,FinTech,https://prodigaltech.com
Standard AI,Artificial Intelligence,https://standard.ai
Phiar Technologies,Autonomous Vehicles,
SendBird,Messaging,https://sendbird.com
Memfault,Electronics,https://memfault.com
Nuvocargo,Logistics,https://nuvocargo.com
Treasury Prime,FinTech,https://treasuryprime.com
Forage,EdTech,https://theforage.com
Outschool,EdTech,https://outschool.com
Shogun,Web Development,https://getshogun.com
H1,Healthcare,https://hulu.com
Curtsy,E-Commerce,https://curtsyapp.com
Landed,Recruiting,https://landed.com
CrowdAI,Image Recognition,https://crowdai.com
Ophelia,Healthcare,https://ophelia.com
LegionFarm,Coaching,https://legionfarm.com
Jerry,Auto Insurance,https://jerrysartarama.com
FightCamp,Healthcare,https://joinfightcamp.com
Contraline,Biotech,https://contraline.com
Voiceops,SaaS,https://voiceops.com
Carrot Fertility,Healthcare,https://get-carrot.com
ZenBusiness,SaaS,https://zenbusiness.com
Wild Earth,E-Commerce,https://wildearth.com
Teckro,Biotech,https://teckro.com
Sundae,Marketplaces,https://sundae.com
Turing,Recruiting,https://turing.com
Literati,Media,https://literati.com
Eco,FinTech,https://ecobee.com
Grabango,FinTech,https://grabango.com
Florence Healthcare,Healthcare,
Albert,FinTech,https://albertsons.com
onX,Navigation,https://onxmaps.com
Centivo,Healthcare,https://centivo.com
Brightwheel,SaaS,https://mybrightwheel.com
Verato,SaaS,https://verato.com
Crosschq,Artificial Intelligence,https://crosschq.com
Shopmonkey,SaaS,https://shopmonkey.io
Zoomin,Software,https://zoomin.com
Syndio,Analytics,https://synd.io
Coiled,Data Science,https://coiled.io
Fold App,FinTech,https://foldapp.com
Ganaz,Agriculture,https://ganaz.com
MaintainX,Software,https://getmaintainx.com
Prefect,Data Science,https://prefect.io
Manticore Games,Gaming,https://manticoregames.com
Modern Treasury,FinTech,https://moderntreasury.com
BetterWorks,Enterprise Software,https://betterworks.com
Kinsa,Healthcare,https://kinsahealth.com
Tulip Retail,Enterprise Software,
Helix,Healthcare,https://helix.ru
Audius,Crypto,https://audius.co
Cameo,Video,https://cameo.com
Comma.ai,Autonomous Vehicles,https://comma.ai
Medium,Consumer,https://medium.com
Descript,Audio Editor,https://descript.com
Overtime,Media,https://overtime.tv
preset.io,Analytics,https://preset.io
Snackpass,Restaurants,https://snackpass.co
Workboard,Enterprise Software,https://workboard.com
Alluxio,Software,https://alluxio.io
insitro,Biotech,https://insitro.com
Yellow Card,Crypto,https://yellowcard.io
Divvy Homes,Real Estate,https://divvyhomes.com
AKASA,Healthcare,https://akasa.lk
Substack,Media,https://substack.com
Dyno Therapeutics,Healthcare,https://dynotx.com
ChartHop,Human Resources,https://charthop.com
Solana,Crypto,https://solana.com
FlyHomes,Real Estate,https://flyhomes.com
Singularity 6,Gaming,https://singularity6.com
Thesis,Crypto,https://takethesis.com
Nobell Foods,Manufacturing,https://nobellfoods.com
Cape Analytics,Artificial Intelligence,https://capeanalytics.com
Kiddom,EdTech,https://kiddomino.com
Homebase,Human Resources,https://joinhomebase.com
Bungalow,Consumer,https://bungalow.com
Catch,FinTech,https://catch.com.au
AttackIQ,Cybersecurity,https://attackiq.com
Abacus.AI,Artificial Intelligence,https://abacus.ai
Eight Sleep,Hardware,https://eightsleep.com
Tempo,Healthcare,https://tempo.co
Level,FinTech,https://levels.fyi
Docbot,Healthcare,https://docbot.com
Bitwise Asset Management,Crypto,https://bitwiseinvestments.com/models/bitwise-crypto-asset-portfolio
lexion.ai,Artificial Intelligence,https://lexion.ai
Lula,FinTech,https://lula.is
Mighty Buildings,Hardware,https://mightybuildings.com
ActionIQ,Enterprise Software,https://actioniq.com
LocoNav,SaaS,https://loconav.com
Puls,SaaS,https://puls.com
Pendulum Therapeutics,Biotech,https://pendulumlife.com
The Org,Communities,https://theorg.com
mmhmm,SaaS,https://mmhmm.app
StrongDM,Cybersecurity,https://strongdm.com
Pilot.com,FinTech,https://pilot.com
Bigeye,Analytics,https://bigeye.com
Releasehub,Developer Tools,https://github.com/releasehub-com/release
Vise,FinTech,https://viseca.ch
Loom,Collaboration,https://loom.com
Physna,Artificial Intelligence,https://physna.com
Silk,SaaS,https://silk.co
StreamSets,Enterprise Software,https://streamsets.com
Chief,Consumer Social,https://chief.com
REVL,Artificial Intelligence,https://revlocal.com
Nova Credit,FinTech,https://novacredit.com
Skydrop,Robotics,https://getskydrop.com
Function of Beauty,E-Commerce,https://functionofbeauty.com
Petcube,Hardware,https://petcube.com
BloomTech (fka Lambda School),EdTech,https://www.bloomtech.com/article/applying-to-bloomtech-how-to-choose-the-right-tuition-option-for-you
Yoshi,Transportation,https://yoshinoya.com
Gatsby Trading,FinTech,
Universe,Web Development,https://universe.com
Observe.AI,Artificial Intelligence,https://observe.ai
Boom Supersonic,Space,https://boomsupersonic.com
FidoCure,Healthcare,https://fidocure.com
Meru Health,Mental Healthcare,https://meruhealth.com
ADVANO,Hardware,https://advanotech.com
Datree,Developer Tools,https://datree.io
lucy.co,E-Commerce,https://lucy.co
Pelago,Healthcare,https://pelago.co
UpKeep,Enterprise Software,https://upkeep.com
Raptor Maps,Hardware,https://raptormaps.com
Narrator,Data Science,https://nr8r.com
Armory,Enterprise Software,https://armoryonpark.org
Nabis,Marketplace,https://nabis.com
Elemental Machines,Biotech,https://elementalmachines.com
M0balytics,Analytics,
Peptilogics,Biotech,https://peptilogics.com
Coder,Enterprise Software,https://coderpad.io
Bunch,Consumer Social,https://bunch.capital
goTenna,Electronics,https://gotenna.com
Zinier,SaaS,https://zinier.com
Motherly,Communities,https://mother.ly
Raise (formerly HelloOffice),Commercial Real Estate,
AI Foundation,Artificial Intelligence,https://aifoundation.com
Fairwords,Compliance,https://fairwords.com
LeafLink,Marketplace,https://leaflink.com
Raise.com,Marketplace,https://raise.com
Eden,SaaS,https://edenbrothers.com
Cypress.io,Developer Tools,https://cypress.io
Okera,Data Science,https://okera.com
Brainbase,Software,https://brainbase.com
Netdata,Enterprise Software,https://netdata.cloud
Streamloots,Video Streaming,https://streamloots.com
GetAccept,Sales and Marketing,https://getaccept.com
Iris Automation,Hardware,https://irisonboard.com
Pachyderm,Enterprise Software,https://pachyderm.com
Pixie,Artificial Intelligence,https://pixieset.com
BULLETIN,E-Commerce,https://bulletin.co
Trusona,SaaS,https://trusona.com
Ripcord,Robotics,https://ripcord.com
Element Analytics,Data Science,https://elementanalytics.com
UJET,Customer Service,https://ujet.cx
Veem,FinTech,https://veem.com
Feather,E-Commerce,https://livefeather.com
Allset,Marketplace,https://allsetnow.com
Rigetti Computing,Hardware,https://rigetti.com
CodeCombat,Software,https://codecombat.com
Very Good Security,FinTech,https://verygoodsecurity.com
Sleeper,Sports,https://sleeper.com
Run The World,Events,https://runtheworld.today
Journera,Travel,https://journera.com
Drishti,Analytics,https://drishti.com
Silo,Agriculture,https://silodrome.com
RideCell,Autonomous Vehicles,https://ridecell.com
Modal,Automotive,https://modalyst.co
Akash Systems,Space,https://akashsystems.com
Atomwise,Artificial Intelligence,https://atomwise.com
Q.bio,Biotech,https://q.bio
Karius,Biotech,https://kariusdx.com
Yes Health,Healthcare,https://yeshealth.com
HeartVista,Healthcare,
Clear Labs,Biotech,https://clearlabs.com
Fernish,SaaS,https://fernish.com
Kernel,Biotech,https://kernel.com
Siolta Therapeutics,Biotech,https://sioltatherapeutics.com
Siren Health,Healthcare,
Statespace,Sports,https://statespace.no
Uhnder,Autonomous Vehicles,https://uhnder.com
Curai Health,Healthcare,https://curaihealth.com
SirionLabs,Enterprise Software,
Vivace Therapeutics,Biotech,https://vivacetherapeutics.com
Kneron,Artificial Intelligence,https://kneron.com
Pony.ai,Robotics,https://pony.ai
CleverTap,Enterprise Software,https://clevertap.com
Finix,FinTech,https://finix.com
Empower,FinTech,https://empower.com
Biofourmis,Healthcare,https://biofourmis.com
Rockset,Analytics,https://rockset.com
Linear,Developer Tools,https://linear.app
Confident Cannabis,SaaS,https://confidentcannabis.com
MedCrypt,Cybersecurity,https://medcrypt.com
Tara Intelligence,Enterprise Software,
Tachyus,Enterprise Software,https://tachyus.com
RITUAL,Wellness,https://ritual.com
Summersalt,E-Commerce,https://summersalt.com
Candid,Dental Healthcare,https://candid.org
Restaurant365,SaaS,https://restaurant365.com
ManyChat,Messaging,https://manychat.com
Blue Hexagon,Cybersecurity,https://bluehexagons.com
Terminal,Recruiting,https://terminallance.com
Kapwing,Social Media,https://kapwing.com
FabFitFun,E-Commerce,https://fabfitfun.com
Reputation.com,Enterprise Software,https://reputation.com
Castle,Cybersecurity,https://castlebranch.com
Plum,Food & Drinks,https://plumbenefits.com
Neurotrack,Healthcare,https://neurotrack.com
Next Trucking,Truckers,https://nexttrucking.com
CB4 Analytics,Analytics,https://cbanalytics.com.au
Cobalt Robotics,Cybersecurity,https://cobaltrobotics.com
Dolls Kill,E-Commerce,https://dollskill.com
Digital.ai,Enterprise Software,https://digital.ai
YapStone,FinTech,https://yapstone.com
Oasis Labs,Crypto,https://oasislabs.com
Narvar,E-Commerce,https://narvar.com
Scentbird Perfumes,SaaS,
SFOX,FinTech,https://sfox.com
Wallarm,Cybersecurity,https://wallarm.com
Naked Labs,Healthcare,https://nakedlabs.com
Ara,Sales and Marketing,https://aramex.com
Rainforest QA,SaaS,https://rainforestqa.com
ScyllaDB,Enterprise Software,https://scylladb.com
YourMechanic,Marketplace,https://yourmechanic.com
Earnin,Employee Benefits,https://earnin.com
10% Happier,EdTech,https://happierliving.com
indeni,Enterprise Software,https://indenicsa.com
voxelcloud,Artificial Intelligence,https://voxelcloud.ai
Opal Labs,Enterprise Software,https://opal-labs.com
Amino,Healthcare,https://amino.com
Atomist,Web Development,https://atomist.com
Science Exchange,Marketplaces,https://scienceexchange.com
Estimote,Safety,https://estimote.com
HOOKED,Consumer,https://hookedonphonics.com
Adentro (formerly Zenreach),Marketing Automation,
Hubble Contacts,E-Commerce,
MealPal,SaaS,https://mealpal.com
Bastille,Cybersecurity,https://bastille.net
Nuna,Healthcare,https://nunababy.com
UNTUCKit,Fashion,https://untuckit.com
Soylent,Food,https://soylent.com
Jopwell,Recruiting,https://jopwell.com
Bigscreen,Consumer,https://bigscreenvr.com
Health IQ,Healthcare,https://healthiq.com
Gobble,Food & Drinks,https://gobble.com
Luka,Consumer,https://luka.ai
LeadGenius,Enterprise Software,https://leadgenius.com
Suiteness,Travel,https://suiteness.com
Indiegogo,Crowdfunding,https://indiegogo.com
Fond,SaaS,https://fond.co
Quartzy,Enterprise Software,https://quartzy.com
Kumu Networks,Mobile,https://kumunetworks.com
Grokker,Healthcare,https://grokker.com
The One Music Group,Music,
Thanx,E-Commerce,https://thanx.com
