company_name,official_website,source_provider,confidence_score,selected_rank,status,failure_reason,input_occurrences
Alchemy,,google,,,error,search_http_429,1
Census,,google,,,error,search_http_429,1
Mos,,google,,,error,search_http_429,1
Phantom,,google,,,error,search_http_429,1
Vesta,,google,,,error,search_http_429,1
Compound Financial,,google,,,error,search_http_429,1
CoinTracker,,google,,,error,search_http_429,1
Supermove,,google,,,error,search_http_429,1
CaptivateIQ,,google,,,error,search_http_429,1
Scratchpad,,google,,,error,search_http_429,1
Cellino,,google,,,error,search_http_429,1
Culdesac,,google,,,error,search_http_429,1
Virtru,,google,,,error,search_http_429,1
Autograph,,google,,,error,search_http_429,1
Smartcar,,google,,,error,search_http_429,1
Clockwise,,google,,,error,search_http_429,1
Merit,,google,,,error,search_http_429,1
Wonderschool,,google,,,error,search_http_429,1
Envoy,,google,,,error,search_http_429,1
Miro,,google,,,error,search_http_429,1
OpenSea,,google,,,error,search_http_429,1
Pyka,,google,,,error,search_http_429,1
Tackle,,google,,,error,search_http_429,1
Searchlight,,google,,,error,search_http_429,1
SkySafe,,google,,,error,search_http_429,1
Papaya,,google,,,error,search_http_429,1
Stoke Space,,google,,,error,search_http_429,1
Mixhalo,,google,,,error,search_http_429,1
Wonder Dynamics,,google,,,error,search_http_429,1
Robust Intelligence,,google,,,error,search_http_429,1
Deed,,google,,,error,search_http_429,1
Mio,,google,,,error,search_http_429,1
Torq,,google,,,error,search_http_429,1
Anyscale,,google,,,error,search_http_403,1
CyCognito,,google,,,error,search_http_429,1
Commonwealth Fusion,,google,,,error,search_http_429,1
CloudTrucks,,google,,,error,search_http_429,1
Iron Fish,,google,,,error,search_http_429,1
Lessen,,google,,,error,search_http_429,1
Quince,,google,,,error,search_http_429,1
Conduktor,,google,,,error,search_http_429,1
Royal,,google,,,error,search_http_429,1
Stytch,,google,,,error,search_http_429,1
Fountain Therapeutics,,google,,,error,search_http_429,1
PlanetScale,,google,,,error,search_http_429,1
Luxury Presence,,google,,,error,search_http_429,1
Ribbon Health,,google,,,error,search_http_429,1
Netography,,google,,,error,search_http_429,1
Orderful,,google,,,error,search_http_429,1
Wrapbook,,google,,,error,search_http_429,1
VergeSense,,google,,,error,search_http_429,1
Faraway,,google,,,error,search_http_429,1
Mythical Games,,google,,,error,search_http_429,1
Whimsical,,google,,,error,search_http_429,1
UnitedMasters,,google,,,error,search_http_429,1
Drip Capital,,google,,,error,search_http_429,1
ClickUp,,google,,,error,search_http_429,1
Matik,,google,,,error,search_http_429,1
Lightship,,google,,,error,search_http_429,1
All Day Kitchens,,google,,,error,search_http_429,1
Neural Magic,,google,,,error,search_http_429,1
Solugen,,google,,,error,search_http_429,1
Osaro,,google,,,error,search_http_429,1
Superhuman,,google,,,error,search_http_429,1
Arevo,,google,,,error,search_http_429,1
eGenesis,,google,,,error,search_http_429,1
Facilio,,google,,,error,search_http_429,1
WorkRamp,,google,,,error,search_http_429,1
Elemeno Health,,google,,,error,search_http_429,1
Zenysis,,google,,,error,search_http_429,1
May Mobility,,google,,,error,search_http_429,1
Tesorio,,google,,,error,search_http_429,1
HyperTrack,,google,,,error,search_http_429,1
KERV Interactive,,google,,,error,search_http_429,1
Nimble Pharmacy,,google,,,error,search_http_429,1
Notion,,google,,,error,search_http_429,1
Gem,,google,,,error,search_http_429,1
Formation Bio,,google,,,error,search_http_429,1
Loyal,,google,,,error,search_http_429,1
Misfits Market,,google,,,error,search_http_429,1
Stardust,,google,,,error,search_http_429,1
ROME Therapeutics,,google,,,error,search_http_429,1
GenEdit,,google,,,error,search_http_429,1
Elodie Games,,google,,,error,search_http_429,1
Rapid Robotics,,google,,,error,search_http_429,1
Catch&Release,,google,,,error,search_http_429,1
Monad,,google,,,error,search_http_429,1
Aalto,,google,,,error,search_http_429,1
Tabular Technologies,,google,,,error,search_http_429,1
Robocorp,,google,,,error,search_http_429,1
Dover,,google,,,error,search_http_429,1
Origin,,google,,,error,search_http_429,1
Coco,,google,,,error,search_http_429,1
Calibrate,,google,,,error,search_http_429,1
Jetty,,google,,,error,search_http_429,1
Juno,,google,,,error,search_http_429,1
Hipcamp,,google,,,error,search_http_429,1
Titan,,google,,,error,search_http_429,1
Doxel,,google,,,error,search_http_429,1
PicsArt,,google,,,error,search_http_429,1
SplashLearn,,google,,,error,search_http_429,1
Zomentum,,google,,,error,search_http_429,1
Orum,,google,,,error,search_http_429,1
unitQ,,google,,,error,search_http_429,1
Centaur Labs,,google,,,error,search_http_429,1
Solv Health,,google,,,error,search_http_429,1
Popshop Live,,google,,,error,search_http_429,1
Passport,,google,,,error,search_http_429,1
Moveworks,,google,,,error,search_http_429,1
Thrive Global,,google,,,error,search_http_429,1
Interos,,google,,,error,search_http_429,1
Neuralink,,google,,,error,search_http_429,1
Modern Animal,,google,,,error,search_http_429,1
MakersPlace,,google,,,error,search_http_429,1
Connie Health,,google,,,error,search_http_429,1
SentiLink,,google,,,error,search_http_429,1
CareStack,,google,,,error,search_http_429,1
Blameless,,google,,,error,search_http_429,1
Slintel,,google,,,error,search_http_429,1
Multiply Labs,,google,,,error,search_http_429,1
Plate IQ,,google,,,error,search_http_429,1
Lob,,google,,,error,search_http_429,1
Cofactor Genomics,,google,,,error,search_http_429,1
Tovala,,google,,,error,search_http_429,1
SafetyWing,,google,,,error,search_http_429,1
Flowspace,,google,,,error,search_http_429,1
"Bot, M.D.",,google,,,error,search_http_429,1
Prodigal,,google,,,error,search_http_429,1
Standard AI,,google,,,error,search_http_429,1
Phiar Technologies,,google,,,error,search_http_429,1
SendBird,,google,,,error,search_http_429,1
Memfault,,google,,,error,search_http_429,1
Nuvocargo,,google,,,error,search_http_429,1
Treasury Prime,,google,,,error,search_http_429,1
Forage,,google,,,error,search_http_429,1
Outschool,,google,,,error,search_http_429,1
Shogun,,google,,,error,search_http_429,1
H1,,google,,,error,search_http_429,1
Curtsy,,google,,,error,search_http_429,1
Landed,,google,,,error,search_http_429,1
CrowdAI,,google,,,error,search_http_429,1
Ophelia,,google,,,error,search_http_429,1
LegionFarm,,google,,,error,search_http_429,1
Jerry,,google,,,error,search_http_429,1
FightCamp,,google,,,error,search_http_429,1
Contraline,,google,,,error,search_http_429,1
Voiceops,,google,,,error,search_http_429,1
Carrot Fertility,,google,,,error,search_http_429,1
ZenBusiness,,google,,,error,search_http_429,1
Wild Earth,,google,,,error,search_http_429,1
Teckro,,google,,,error,search_http_429,1
Sundae,,google,,,error,search_http_429,1
Turing,,google,,,error,search_http_429,1
Literati,,google,,,error,search_http_429,1
Eco,,google,,,error,search_http_429,1
Grabango,,google,,,error,search_http_429,1
Florence Healthcare,,google,,,error,search_http_429,1
Albert,,google,,,error,search_http_429,1
onX,,google,,,error,search_http_429,1
Centivo,,google,,,error,search_http_429,1
Brightwheel,,google,,,error,search_http_429,1
Verato,,google,,,error,search_http_429,1
Crosschq,,google,,,error,search_http_429,1
Shopmonkey,,google,,,error,search_http_429,1
Zoomin,,google,,,error,search_http_429,1
Syndio,,google,,,error,search_http_429,1
Coiled,,google,,,error,search_http_429,1
Fold App,,google,,,error,search_http_429,1
Ganaz,,google,,,error,search_http_429,1
MaintainX,,google,,,error,search_http_429,1
Prefect,,google,,,error,search_http_429,1
Manticore Games,,google,,,error,search_http_429,1
Modern Treasury,,google,,,error,search_http_429,1
BetterWorks,,google,,,error,search_http_429,1
Kinsa,,google,,,error,search_http_429,1
Tulip Retail,,google,,,error,search_http_429,1
Helix,,google,,,error,search_http_429,1
Audius,,google,,,error,search_http_429,1
Cameo,,google,,,error,search_http_429,1
Comma.ai,,google,,,error,search_http_429,1
Medium,,google,,,error,search_http_429,1
Descript,,google,,,error,search_http_429,1
Overtime,,google,,,error,search_http_429,1
preset.io,,google,,,error,search_http_429,1
Snackpass,,google,,,error,search_http_429,1
Workboard,,google,,,error,search_http_429,1
Alluxio,,google,,,error,search_http_429,1
insitro,,google,,,error,search_http_429,1
Yellow Card,,google,,,error,search_http_429,1
Divvy Homes,,google,,,error,search_http_429,1
AKASA,,google,,,error,search_http_429,1
Substack,,google,,,error,search_http_429,1
Dyno Therapeutics,,google,,,error,search_http_429,1
ChartHop,,google,,,error,search_http_429,1
Solana,,google,,,error,search_http_429,1
FlyHomes,,google,,,error,search_http_429,1
Singularity 6,,google,,,error,search_http_429,1
Thesis,,google,,,error,search_http_429,1
Nobell Foods,,google,,,error,search_http_429,1
Cape Analytics,,google,,,error,search_http_429,1
Kiddom,,google,,,error,search_http_429,1
Homebase,,google,,,error,search_http_429,1
Bungalow,,google,,,error,search_http_429,1
Catch,,google,,,error,search_http_429,1
AttackIQ,,google,,,error,search_http_429,1
Abacus.AI,,google,,,error,search_http_429,1
Eight Sleep,,google,,,error,search_http_429,1
Tempo,,google,,,error,search_http_429,1
Level,,google,,,error,search_http_429,1
Docbot,,google,,,error,search_http_429,1
Bitwise Asset Management,,google,,,error,search_http_429,1
lexion.ai,,google,,,error,search_http_429,1
Lula,,google,,,error,search_http_429,1
Mighty Buildings,,google,,,error,search_http_429,1
ActionIQ,,google,,,error,search_http_429,1
LocoNav,,google,,,error,search_http_429,1
Puls,,google,,,error,search_http_429,1
Pendulum Therapeutics,,google,,,error,search_http_429,1
The Org,,google,,,error,search_http_429,1
mmhmm,,google,,,error,search_http_429,1
StrongDM,,google,,,error,search_http_429,1
Pilot.com,,google,,,error,search_http_429,1
Bigeye,,google,,,error,search_http_429,1
Releasehub,,google,,,error,search_http_429,1
Vise,,google,,,error,search_http_429,1
Loom,,google,,,error,search_http_429,1
Physna,,google,,,error,search_http_429,1
Silk,,google,,,error,search_http_429,1
StreamSets,,google,,,error,search_http_429,1
Chief,,google,,,error,search_http_429,1
REVL,,google,,,error,search_http_429,1
Nova Credit,,google,,,error,search_http_429,1
Skydrop,,google,,,error,search_http_429,1
Function of Beauty,,google,,,error,search_http_429,1
Petcube,,google,,,error,search_http_429,1
BloomTech (fka Lambda School),,google,,,error,search_http_429,1
Yoshi,,google,,,error,search_http_429,1
Gatsby Trading,,google,,,error,search_http_429,1
Universe,,google,,,error,search_http_429,1
Observe.AI,,google,,,error,search_http_429,1
Boom Supersonic,,google,,,error,search_http_429,1
FidoCure,,google,,,error,search_http_429,1
Meru Health,,google,,,error,search_http_429,1
ADVANO,,google,,,error,search_http_429,1
Datree,,google,,,error,search_http_429,1
lucy.co,,google,,,error,search_http_429,1
Pelago,,google,,,error,search_http_429,1
UpKeep,,google,,,error,search_http_429,1
Raptor Maps,,google,,,error,search_http_429,1
Narrator,,google,,,error,search_http_429,1
Armory,,google,,,error,search_http_429,1
Nabis,,google,,,error,search_http_429,1
Elemental Machines,,google,,,error,search_http_429,1
M0balytics,,google,,,error,search_http_429,1
Peptilogics,,google,,,error,search_http_429,1
Coder,,google,,,error,search_http_429,1
Bunch,,google,,,error,search_http_429,1
goTenna,,google,,,error,search_http_429,1
Zinier,,google,,,error,search_http_429,1
Motherly,,google,,,error,search_http_429,1
Raise (formerly HelloOffice),,google,,,error,search_http_429,1
AI Foundation,,google,,,error,search_http_429,1
Fairwords,,google,,,error,search_http_429,1
LeafLink,,google,,,error,search_http_429,1
Raise.com,,google,,,error,search_http_429,1
Eden,,google,,,error,search_http_429,1
Cypress.io,,google,,,error,search_http_429,1
Okera,,google,,,error,search_http_429,1
Brainbase,,google,,,error,search_http_429,1
Netdata,,google,,,error,search_http_429,1
Streamloots,,google,,,error,search_http_429,1
GetAccept,,google,,,error,search_http_429,1
Iris Automation,,google,,,error,search_http_429,1
Pachyderm,,google,,,error,search_http_429,1
Pixie,,google,,,error,search_http_429,1
BULLETIN,,google,,,error,search_http_429,1
Trusona,,google,,,error,search_http_429,1
Ripcord,,google,,,error,search_http_429,1
Element Analytics,,google,,,error,search_http_429,1
UJET,,google,,,error,search_http_429,1
Veem,,google,,,error,search_http_429,1
Feather,,google,,,error,search_http_429,1
Allset,,google,,,error,search_http_429,1
Rigetti Computing,,google,,,error,search_http_429,1
CodeCombat,,google,,,error,search_http_429,1
Very Good Security,,google,,,error,search_http_429,1
Sleeper,,google,,,error,search_http_429,1
Run The World,,google,,,error,search_http_429,1
Journera,,google,,,error,search_http_429,1
Drishti,,google,,,error,search_http_429,1
Silo,,google,,,error,search_http_429,1
RideCell,,google,,,error,search_http_429,1
Modal,,google,,,error,search_http_429,1
Akash Systems,,google,,,error,search_http_429,1
Atomwise,,google,,,error,search_http_429,1
Q.bio,,google,,,error,search_http_429,1
Karius,,google,,,error,search_http_429,1
Yes Health,,google,,,error,search_http_429,1
HeartVista,,google,,,error,search_http_429,1
Clear Labs,,google,,,error,search_http_429,1
Fernish,,google,,,error,search_http_429,1
Kernel,,google,,,error,search_http_429,1
Siolta Therapeutics,,google,,,error,search_http_429,1
Siren Health,,google,,,error,search_http_429,1
Statespace,,google,,,error,search_http_429,1
Uhnder,,google,,,error,search_http_429,1
Curai Health,,google,,,error,search_http_429,1
SirionLabs,,google,,,error,search_http_429,1
Vivace Therapeutics,,google,,,error,search_http_429,1
Kneron,,google,,,error,search_http_429,1
Pony.ai,,google,,,error,search_http_429,1
CleverTap,,google,,,error,search_http_429,1
Finix,,google,,,error,search_http_429,1
Empower,,google,,,error,search_http_429,1
Biofourmis,,google,,,error,search_http_429,1
Rockset,,google,,,error,search_http_429,1
Linear,,google,,,error,search_http_429,1
Confident Cannabis,,google,,,error,search_http_429,1
MedCrypt,,google,,,error,search_http_429,1
Tara Intelligence,,google,,,error,search_http_429,1
Tachyus,,google,,,error,search_http_429,1
RITUAL,,google,,,error,search_http_429,1
Summersalt,,google,,,error,search_http_429,1
Candid,,google,,,error,search_http_429,1
Restaurant365,,google,,,error,search_http_429,1
ManyChat,,google,,,error,search_http_429,1
Blue Hexagon,,google,,,error,search_http_429,1
Terminal,,google,,,error,search_http_429,1
Kapwing,,google,,,error,search_http_429,1
FabFitFun,,google,,,error,search_http_429,1
Reputation.com,,google,,,error,search_http_429,1
Castle,,google,,,error,search_http_429,1
Plum,,google,,,error,search_http_429,1
Neurotrack,,google,,,error,search_http_429,1
Next Trucking,,google,,,error,search_http_429,1
CB4 Analytics,,google,,,error,search_http_429,1
Cobalt Robotics,,google,,,error,search_http_429,1
Dolls Kill,,google,,,error,search_http_429,1
Digital.ai,,google,,,error,search_http_429,1
YapStone,,google,,,error,search_http_429,1
Oasis Labs,,google,,,error,search_http_429,1
Narvar,,google,,,error,search_http_429,1
Scentbird Perfumes,,google,,,error,search_http_429,1
SFOX,,google,,,error,search_http_429,1
Wallarm,,google,,,error,search_http_429,1
Naked Labs,,google,,,error,search_http_429,1
Ara,,google,,,error,search_http_429,1
Rainforest QA,,google,,,error,search_http_429,1
ScyllaDB,,google,,,error,search_http_429,1
YourMechanic,,google,,,error,search_http_429,1
Earnin,,google,,,error,search_http_429,1
10% Happier,,google,,,error,search_http_429,1
indeni,,google,,,error,search_http_429,1
voxelcloud,,google,,,error,search_http_429,1
Opal Labs,,google,,,error,search_http_429,1
Amino,,google,,,error,search_http_429,1
Atomist,,google,,,error,search_http_429,1
Science Exchange,,google,,,error,search_http_429,1
Estimote,,google,,,error,search_http_429,1
HOOKED,,google,,,error,search_http_429,1
Adentro (formerly Zenreach),,google,,,error,search_http_429,1
Hubble Contacts,,google,,,error,search_http_429,1
MealPal,,google,,,error,search_http_429,1
Bastille,,google,,,error,search_http_429,1
Nuna,,google,,,error,search_http_429,1
UNTUCKit,,google,,,error,search_http_429,1
Soylent,,google,,,error,search_http_429,1
Jopwell,,google,,,error,search_http_429,1
Bigscreen,,google,,,error,search_http_429,1
Health IQ,,google,,,error,search_http_429,1
Gobble,,google,,,error,search_http_429,1
Luka,,google,,,error,search_http_429,1
LeadGenius,,google,,,error,search_http_429,1
Suiteness,,google,,,error,search_http_429,1
Indiegogo,,google,,,error,search_http_429,1
Fond,,google,,,error,search_http_429,1
Quartzy,,google,,,error,search_http_429,1
Kumu Networks,,google,,,error,search_http_429,1
Grokker,,google,,,error,search_http_429,1
The One Music Group,,google,,,error,search_http_429,1
Thanx,,google,,,error,search_http_429,1
